,id_client,amount,total_purchase,recency
308,03b3A060Ab5,1,0.0,1172
309,03b466b0bA3,1,0.0,1178
310,03b634524A9,1,0.0,1413
311,03b64433A6b,1,0.0,1365
312,03b6b6A5398,3,67056.1,295
313,03b8848A358,2,39590.1,82
314,03b90555622,1,0.0,471
315,03b95383692,1,0.0,1098
316,03bA4468A3b,1,1500.0,154
317,03bb4895902,1,1500.0,362
318,03bbA3b3A66,1,0.0,1329
319,040368A0650,2,0.0,869
320,04036A0290b,1,0.0,1372
321,04039965035,1,0.0,30
322,040438609A9,1,22300.3,828
323,040454b0603,1,12500.0,1190
324,04050A3A9A9,1,0.0,1378
325,0408554A692,1,17900.0,250
326,0409095AAb8,1,0.0,1365
327,04098b54908,1,0.0,1373
328,040A2052900,3,10300.0,491
329,040A432bA83,1,0.0,1357
330,040A5305663,2,78907.14,812
331,040A85A265A,2,0.0,1014
332,040b35556A8,1,0.0,239
333,042039A3632,2,0.0,1183
334,04229585A44,1,31727.87,1444
335,04233b3A6A3,1,0.0,1164
336,04249389600,4,14342.0,22
337,0424b9046bA,1,29825.0,547
338,04259055A94,1,0.0,28
339,04268b66952,1,31868.0,51
340,0426A59A600,2,14320.0,632
341,0426b26A628,1,24300.0,386
342,04280065b48,1,9810.0,572
343,042804A8683,1,30000.0,79
344,04294385b58,1,0.0,1112
345,04295A05945,1,0.0,1372
346,042A2333AA2,1,0.0,28
347,042b802A992,1,0.0,1373
348,042b85bA63A,1,0.0,561
349,042bbb80bb6,1,2800.0,426
350,04330b63A33,1,0.0,1358
351,04334543693,1,0.0,819
352,04345469686,1,0.0,187
353,0434A204A30,1,0.0,1365
354,04355485498,1,0.0,1168
355,0435A5036b0,4,0.0,534
356,04392602800,1,0.0,852
357,04394646502,1,0.0,1329
358,0439A065835,2,37000.0,247
359,043b850064b,4,0.0,415
360,044052b9969,1,0.0,1372
361,044329A4629,1,1500.0,117
362,0445245b606,1,0.0,643
363,04458AA8625,1,0.0,1014
364,044638bA69b,1,0.0,1091
365,044820325A4,1,0.0,1351
366,04490056664,2,27019.0,386
367,04496090A4b,1,0.0,1391
368,0449A538603,1,0.0,237
369,044A4694698,1,4710.0,1449
370,044A569A889,1,9810.0,588
371,044AA0A0895,1,0.0,954
372,044b0955442,1,21000.0,1784
373,044b3944956,1,0.0,478
374,044b86bA990,1,17900.0,175
375,045340bAA08,1,0.0,1365
376,04549394692,1,29962.5,1428
377,04564092b0b,1,1500.0,1622
378,045655306A9,3,26695.0,594
379,04568A59962,1,0.0,414
380,04593665b28,1,0.0,1379
381,045b8A00685,3,0.0,259
382,0460AbA232b,1,0.0,355
383,046224b0900,1,0.0,1380
384,0465A285643,2,60671.5,250
385,0465b0234AA,1,38280.0,91
386,046608086b0,4,24120.0,534
387,046893b58b9,1,0.0,1206
388,046A2b85A00,1,0.0,1133
389,046A3b23639,1,0.0,427
390,046b5b3263A,2,0.0,869
391,046b9A60632,1,27000.0,423
392,0482bAb4A64,1,0.0,1156
393,04845bA3896,1,3950.0,1153
394,04849553656,1,0.0,1372
395,048966A3864,3,3600.0,868
396,048A853030A,1,0.0,1379
397,048b0249A54,1,0.0,1342
398,049284bb626,3,18905.0,1205
399,0494204A333,1,0.0,1367
400,0494243A808,1,0.0,832
401,04943A249Ab,1,1500.0,362
402,0494504560b,3,15099.12,952
403,049494699b5,2,0.0,180
404,04958589600,1,11200.0,1747
405,0495A5356b0,1,0.0,1339
406,04962556A42,1,0.0,1359
407,0496952463b,2,23614.24,478
408,0496985396b,1,0.0,1367
409,049b850A334,1,0.0,1373
410,049b906A630,3,94728.0,421
411,04A0296A63A,1,0.0,1337
412,04A20822923,1,0.0,1374
413,04A326bb923,1,0.0,1155
414,04A340A4484,1,10500.0,548
415,04A3b239339,1,0.0,1373
416,04A60A8b935,2,18375.0,176
417,04A6A426992,3,0.0,209
418,04AA266A525,2,0.0,1101
419,04Ab4209600,2,70596.5,601
420,04b04994350,2,0.0,1182
421,04b06490898,2,31168.0,1164
422,04b08460384,2,39590.1,117
423,04b0A863300,2,0.0,1184
424,04b26368630,1,4400.0,975
425,04b266bA650,2,55990.0,428
426,04b4288A45A,1,0.0,1215
427,04b49b89909,1,0.0,1101
428,04b6868564A,1,30807.0,406
429,04bA3943940,5,60608.69,252
430,04bA40696A6,2,20900.0,513
431,04bb905b906,2,4050.0,505
432,05036AA3608,1,0.0,1372
433,0504AAA9309,1,0.0,1409
434,05053A0945A,1,16110.0,237
435,05090325405,1,0.0,1366
436,05090546924,1,0.0,29
437,050b548A9A4,1,0.0,1372
438,050b9b4999b,1,41979.0,224
439,0520382269b,2,0.0,1002
440,05204b85Ab5,1,0.0,1365
441,05228959645,1,0.0,1385
442,05232084488,1,4500.0,727
443,0524b0A890b,1,0.0,1384
444,05252494355,1,13885.2,883
445,05260b94443,1,0.0,1372
446,05290A66645,8,12699.0,126
447,0529A65A4b4,1,0.0,1220
448,052A84045b8,2,38311.2,86
449,052A8584A00,1,0.0,25
450,052AA52bA2b,3,4950.0,105
451,0530A88864A,1,26040.0,79
452,0532Ab88405,1,39980.0,1160
453,053450609b5,1,0.0,1365
454,053662AA956,2,0.0,866
455,05366395909,1,0.0,1367
456,05394009805,1,1500.0,120
457,0539AAAA633,1,0.0,1409
458,053A06AbA08,1,0.0,1365
459,0540552640A,1,0.0,1024
460,054336426b4,1,0.0,1364
461,05454666360,2,35191.2,161
462,0545A924635,2,32500.0,553
463,0545b8b9984,1,0.0,1372
464,05460A846b3,1,32500.0,711
465,05460b9A642,1,0.0,419
466,0546826b683,1,0.0,813
467,05494968588,1,0.0,1171
468,0549906339b,4,111224.0,23
469,054A42A492A,2,25625.0,219
470,0550544992A,2,18588.0,14
471,0550A3b9635,2,41674.55,695
472,055442A6665,1,0.0,478
473,0555b6b9308,2,39980.0,834
474,055625008b6,1,0.0,1358
475,055824088b8,1,0.0,30
476,055A24989b5,1,0.0,947
477,055A5Ab6AAA,1,0.0,1326
478,055A6A2Abb9,4,9640.0,65
479,05642405403,1,0.0,1227
480,0564288b645,1,0.0,1366
481,056503b58b9,1,0.0,63
482,05659bA3955,1,0.0,30
483,05694b4892A,1,0.0,1370
484,056A202583A,1,0.0,1090
485,056b45bb455,1,0.0,1372
486,0582AA5bb90,1,0.0,1381
487,0582bb6bb5A,1,0.0,27
488,05853bA4b40,1,0.0,1372
489,0585932565b,3,30311.52,352
490,058b3262985,1,0.0,1374
491,058b3AA06AA,1,0.0,1366
492,058b4880852,1,0.0,478
493,058b860bb43,1,0.0,995
494,058bbA2996A,1,0.0,1381
495,0593b2AA952,1,0.0,1204
496,059469906A6,2,42788.0,5
497,05955348A3A,1,0.0,1146
498,05988b8A659,2,15216.0,460
499,05996b4563A,1,0.0,827
500,0599A39A963,1,0.0,422
501,059Ab856680,1,0.0,1372
502,05A00b599Ab,1,0.0,422
503,05A480A69b3,1,0.0,1372
504,05A80922A60,2,43400.0,736
505,05A86b59635,1,29825.0,547
506,05AA2395990,2,0.0,1073
507,05AA29A639b,1,0.0,1373
508,05Ab4234990,1,1500.0,362
509,05Ab44334AA,1,41979.0,406
510,05b35095498,2,10175.0,576
511,05b52606969,1,0.0,1087
512,05b55088330,1,35191.2,187
513,05b60b8A90A,1,0.0,1379
514,05b80293b59,1,37350.0,241
515,05bA693Ab23,3,17825.0,782
516,05bbb580980,1,38650.0,1377
517,06058053692,3,26146.71,281
518,0606356b623,1,0.0,1339
519,060983594b4,1,0.0,1374
520,06099034625,1,17096.44,1195
521,060b9994623,1,0.0,1365
522,0622A24A960,1,0.0,476
523,0622b2949bb,1,0.0,26
524,06239245950,1,13425.0,978
525,06246608850,1,0.0,966
526,0626092396A,1,0.0,476
527,0626306965A,1,33356.0,50
528,0626b926656,1,0.0,807
529,062905689b3,1,0.0,1372
530,062A5A5A6b0,1,0.0,1182
531,06304625693,1,0.0,1077
532,0630A6A29A4,1,0.0,1084
533,063348b8808,1,0.0,1077
534,0638AA34909,1,0.0,473
535,063A69A065b,1,0.0,1379
536,0640902bA50,1,43989.0,119
537,06482869408,1,0.0,1368
538,065000A4430,1,0.0,1365
539,06523564860,2,24500.0,16
540,065859946A2,2,0.0,862
541,065b024660b,1,33356.0,239
542,065bb30b695,1,0.0,576
543,06626A2b608,2,5546.88,1089
544,06633020996,1,0.0,1378
545,06638536990,1,33200.0,61
546,0663920A6b4,2,18199.0,428
